,Song,Slide1,Slide2,Slide3,Slide4,Slide5,Slide6,Slide7,Slide8,Slide9,Slide10,Slide11,Slide12,Slide13,Slide14,Slide15,Slide16,Slide17,Slide18,Slide19,Slide20
128,We Are One In The Spirit,"We are one in the Spirit
We are one in the Lord
We are one in the Spirit
We are one in the Lord
And we pray that all unity
may one day be restored","And they'll know 
We are Christians
By our love, by our love.
Yes, they'll know 
We are Christians
By our love","We will walk with each other
We will walk hand in hand
We will walk with each other
We will walk hand in hand
And together we'll spread the news
That God is in our land","And they'll know 
We are Christians
By our love, by our love.
Yes, they'll know 
We are Christians
By our love","We will work with each other
We will work side by side
We will work with each other
We will work side by side
And we'll guard each one's dignity
And save each one's pride","And they'll know 
We are Christians
By our love, by our love.
Yes, they'll know 
We are Christians
By our love","All praise to the Father
From who all things come
And all praise to Christ Jesus
His only Son
And all praise to the Spirit
Who makes us one","And they'll know 
We are Christians
By our love, by our love.
Yes, they'll know 
We are Christians
By our love",,,,,,,,,,,,
129,We Believe,"In this time of desperation
When all we know 
Is doubt and fear
There is only one foundation
We believe, we believe","We believe in God the Father
We believe in Jesus Christ
We believe in the Holy Spirit
And He’s given us new life","We believe in the Crucifixion
We believe that 
He conquered death
We believe in the resurrection
And He’s coming back again
We believe","So, let our faith 
Be more than anthems
Greater than the songs we sing
And in our weakness 
And temptations
We believe, we believe","We believe in God the Father
We believe in Jesus Christ
We believe in the Holy Spirit
And He’s given us new life","We believe in the Crucifixion
We believe that 
He conquered death
We believe in the resurrection
And He’s coming back again
We believe","Let the lost be found
And the dead be raised
In the here and now
Let love invade
Let the church live loud
Our God we’ll say
We believe, we believe","And the gates of Hell
Will not prevail
For the power of God
Has torn the veil
Now we know Your love
Will never fail
We believe, we believe","We believe in God the Father
We believe in Jesus Christ
We believe in the Holy Spirit
And He’s given us new life","We believe in the Crucifixion
We believe that 
He conquered death
We believe in the resurrection
And He’s coming back again
We believe",,,,,,,,,,
130,Welcome Holy Spirit,"Welcome Holy Spirit
We are in Your presence
Fill us with Your power
Live inside of me","You’re the Living Water
Never drying Fountain
Comforter and Counselor
Take complete control","Welcome Holy Spirit
We are in Your presence
Fill us with Your power
Live inside of me",,,,,,,,,,,,,,,,,
131,What a Beautiful Name,"You were the Word at the beginning
One With God 
the Lord Most High
Your hidden glory in creation
Now revealed in You our Christ","What a beautiful Name it is
What a beautiful Name it is
The Name of Jesus Christ my King","What a beautiful Name it is
Nothing compares to this
What a beautiful Name it is
The Name of Jesus","You didn't want heaven without us
So Jesus, You brought heaven down
My sin was great 
Your love was greater
What could separate us now","What a wonderful Name it is
What a wonderful Name it is
The Name of Jesus Christ my King","What a wonderful Name it is
Nothing compares to this
What a wonderful Name it is
The Name of Jesus","You have no rival 
You have no equal
Now and forever
Our God reigns","Yours is the Kingdom
Yours is the glory
Yours is the Name
Above all names","What a powerful Name it is
What a powerful Name it is
The Name of Jesus Christ my King","What a powerful Name it is
Nothing compares to this
What a powerful Name it is
The Name of Jesus",,,,,,,,,,
132,What a Mighty God We Serve,"What a mighty God we serve.
What a mighty God we serve.
Angels bow before Him.
Heaven and earth adore Him.
What a mighty God we serve.",,,,,,,,,,,,,,,,,,,
133,What Freedom Feels Like,"Sunrise
You brought the sun 
Into my dark night
Wide-eyed
You brought the color 
To my black and white","Ooooo, oo-ooo-oo, ooooo
Feel like I'm living 
For the first time
Ooooo, oo-ooo-oo, ooooo
And now I'm dancing 
In Your light","This is what freedom feels like
This is what freedom feels like
This is what freedom feels like
This is what freedom feels like
Feels like","Landslide
Your love came crashing 
Into my life
ooo-ooo
High tide
Your grace is washing 
Every wrong right","Ooooo, oo-ooo-oo, ooooo
Feel like I'm living 
For the first time
Ooooo, oo-ooo-oo, ooooo
And now I'm dancing 
In Your light","This is what freedom feels like
This is what freedom feels like
This is what freedom feels like
This is what freedom feels like
Feels like","I was lost and Your love 
Came to find me
I was blind till 
You showed me my victory
I was bound and You set me free
Now I'm alive, I'm alive","This is what freedom feels like
This is what freedom feels like
This is what freedom feels like
This is what freedom feels like
Feels like",,,,,,,,,,,,
134,When God Ran,"Almighty God, The Great I Am
Immovable Rock, Omnipotent
Powerful
Awesome Lord","Victorious Warrior
Commanding King of Kings
Mighty Conqueror 
And the only time
The only time I ever saw him run
Was when…","He ran to me
He took me in His arms
Held my head to His chest
Said: My son's come home again!","Lifted my face,
Wiped the tears from my eyes,
With forgiveness in His voice 
He said
Son, do you know I still love You?
He caught me By surprise 
When God ran…","The day I left home
I knew I'd broken His heart
And I wondered then 
If things could ever be the same
Then one night","I remembered His love for me
And down that dusty road
Ahead I could see
It was the only time
It was the only time 
I ever saw Him run
And then...","He ran to me
He took me in His arms
Held my head to His chest
Said: My son's come home again!","Lifted my face,
Wiped the tears from my eyes,
With forgiveness in His voice 
He said
Son, do you know I still love You?
He caught me By surprise 
When God ran…","He caught me by surprise.
And He brought me to my knees.
When God ran... 
I saw Him run to me","I was so ashamed, all alone
And so far away.
But now I know, that 
He's been waiting for this day...","I was so ashamed, all alone
And so far away.
But now I know, that 
He's been waiting for this day...","He ran to me
He took me in His arms
Held my head to His chest
Said: My son's come home again!","Lifted my face,
Wiped the tears from my eyes
With forgiveness in His voice 
I felt his love for me again
He ran to me
He took me in His arms","Held my head to his chest
Said My son's come home again!
Lifted my face
Wiped the tears from my eyes
With forgiveness in His voice","He said Son
He called me Son
He said Son, do you know I still love You?
He ran to me","When God Ran
I saw Him run to me
And then I ran to Him
When God ran
When God ran",,,,
135,Who Am I,"Who am I, 
That the Lord of all the earth
Would care to know my name
Would care to feel my hurt?","Who am I, 
That the bright and morning star
Would choose to light the way
For my ever wandering heart?","Not because of who I am
But because of what You've done
Not because of what I've done
But because of who You are","I am a flower quickly fading
Here today and gone tomorrow
A wave tossed in the ocean
A vapor in the wind","Still You hear me 
When I'm calling
Lord, You catch me 
When I'm falling
You've told me who I am
I am Yours","Who am I, 
That the eyes that see my sin
Would look on me with love
And watch me rise again?","Who am I, 
That the voice that 
Calmed the sea
Would call out through the rain
And calm the storm in me?","Not because of who I am
But because of what You've done
Not because of what I've done
But because of who You are","I am a flower quickly fading
Here today and gone tomorrow
A wave tossed in the ocean
A vapor in the wind","Still You hear me 
When I'm calling
Lord, You catch me 
When I'm falling
You've told me who I am
I am Yours","I am Yours
I'm all Yours
Whom shall I fear? 
Whom shall I fear?
'Cause I am Yours
I am Yours",,,,,,,,,
136,Who Gives the Faith,"Who gives the faith, 
For the fa-fa-faith
Who gives the love, 
For the love","Who gives the hope, 
For the ho-ho-hope
Who gives the grace, 
For the grace","Who is that man
I want to shake his hands
For He lives in me
And He died for you and me Oh

Dip Dip Dadada Dip Dip",,,,,,,,,,,,,,,,,
137,Who You Say I Am,"Who am I that the highest King
Would welcome me?
I was lost but He brought me in
Oh His love for me
Oh His love for me","Who the Son sets free
Oh is free indeed
I'm a child of God
Yes I am","Free at last
He has ransomed me
His grace runs deep
While I was a slave to sin
Jesus died for me
Yes, He died for me","Who the Son sets free
Oh is free indeed
I'm a child of God
Yes I am","In my Father's house
There's a place for me
I'm a child of God
Yes I am","I am chosen not forsaken
I am who You say I am
You are for me not against me
I am who You say I am","I am chosen not forsaken
I am who You say I am
You are for me not against me
I am who You say I am
I am who You say I am","Who the Son sets free
Oh is free indeed
I'm a child of God
Yes I am","In my Father's house
There's a place for me
I'm a child of God
Yes I am",,,,,,,,,,,
138,Yes Lord,"I'm trading my sorrows
I'm trading my shame
I'm laying them down for the joy of the lord","I'm trading my sickness
I'm trading my pain
I'm laying it down for the joy of the lord","We say 
Yes Lord, yes Lord, yes yes Lord
Yes Lord, yes Lord, yes yes Lord
Yes Lord, yes Lord, yes yes Lord 
Amen","I'm pressed but not crushed
Persecuted but not abandoned
Struck down but not destroyed
I am blessed beyond the curse
For his promise will endure","That his joy's gonna be my strength
Though the sorrow may last for the night
His joy comes with the morning",,,,,,,,,,,,,,,
139,You are Holy,"You are Holy, Holy
Are you Lord God Almighty
Worthy is the Lamb
Worthy is the Lamb","You are Holy, Holy
Are you Lord God Almighty
Worthy is the Lamb
Worthy is the Lamb
Amen",,,,,,,,,,,,,,,,,,
140,"You are Holy 
(Prince of Peace)","You are holy (You are holy)
You are mighty (You are mighty)
You are worthy (You are worthy)
Worthy of praise (worthy of praise)","I will follow (I will follow)
I will listen (I will listen)
I will love You (I will love You)
All of my days (all of my days)","I will sing to, and worship
The King who is worthy
I will love and adore Him
And I will bow down before Him","You are Lord of lords
You are King of kings
You are mighty God
Lord of everything","You're Emmanuel
You're the Great I Am
You're the Prince of Peace
Who is the Lamb","You're the living God
You're my saving grace
You will reign forever
You are ancient of days","You are alpha, omega
Beginning and end
You're my Savior, Messiah
Redeemer and friend

You are my Prince of Peace
And I will live my life for You",,,,,,,,,,,,,
141,You are Mine,"I will come to you in the silence
I will lift you from all your fear
You will hear My voice
I claim you as My choice
Be still, and know I am near","I am hope for all who are hopeless
I am eyes for all who long to see
In the shadows of the night,
I will be your light
Come and rest in Me","Do not be afraid, I am with you
I have called you each by name
Come and follow Me
I will bring you home
I love you and you are mine","I am strength for all the despairing
Healing for the ones who dwell in shame
All the blind will see, the lame will all run free
And all will know My name","Do not be afraid, I am with you
I have called you each by name
Come and follow Me
I will bring you home
I love you and you are mine","I am the Word that leads all to freedom
I am the peace the world cannot give
I will call your name, embracing all your pain
Stand up, now, walk, and live","Do not be afraid, I am with you
I have called you each by name
Come and follow Me
I will bring you home
I love you and you are mine",,,,,,,,,,,,,
142,You are my All in All,"You are my strength when I am weak
You are the treasure that I seek
You are my all in all","Seeking You as a precious jewel
Lord, to give up I'd be a fool
You are my all in all","Jesus, Lamb of God
Worthy is Your name
Jesus, Lamb of God
Worthy is Your name","Taking my sin, my cross, my shame
Rising again I bless Your name
You are my all in all","When I fall down You pick me up
When I am dry You fill my cup
You are my all in all","Jesus, Lamb of God
Worthy is Your name
Jesus, Lamb of God
Worthy is Your name",,,,,,,,,,,,,,
143,Your Grace is Enough,"Great is Your faithfulness oh God
You wrestle with the sinner's heart
You lead us by still waters in to mercy
And nothing can keep us apart","So remember Your people
Remember Your children
Remember Your promise
Oh God","Your grace is enough
Your grace is enough
Your grace is enough for me","Great is Your love and justice God 
You use the weak to lead the strong
You lead us in the song of Your salvation
And all Your people sing along","So remember Your people
Remember Your children
Remember Your promise
Oh God","Your grace is enough
Your grace is enough
Your grace is enough for me","Your grace is enough
Heaven reaching down to us
Your grace is enough for me
God I see your grace is enough
I'm covered in your love
Your grace is enough for me
For me",,,,,,,,,,,,,
144,Run Joseph Run,"So is it true that a young guy 
Can stay holy and be pure
How many of us out there 
Can believe and say for sure","No matter how we try, 
We just can't seem to stay
From falling into temptations 
That keep coming our way","You better - Run 
Joseph Run","Suppose this grace we talk about 
Is really not enough
Suppose this race we run 
Is just too harsh and too tough","But don't we always want to blame 
Our fall on someone else
When the reason why most times 
We sin is really our own self","You better - Run 
Joseph Run","Well my friend it's time 
We just stop trusting our own will
Coz the devil's like a roaring lion
He'll devour and he'll kill","Even if you are a leader 
A preacher or a star
You're just another man 
Seduced by the wife of Potiphar","You better - Run 
Joseph Run",,,,,,,,,,,
145,Peace Like a River,"Peace like a River
Joy like the break of the day
Hope like a sunbeam
life like never before","How can light be born out of darkness?
how can peace be the fruit of a war?
How can we learn to be true to each other
Until we know that we’re brothers at heart","It’s time we opened out minds to the truth
And welcomed the message of peace
It’s time we heeded the call from above
And joined in the chorus of joy","Peace like a River
Joy like the break of the day
Hope like a sunbeam
life like never before",,,,,,,,,,,,,,,,
146,J-E-S-U-S,"Jesus Loves Me
This I Know
For the Bible Tells Me So
Little Ones to Him Belong
They Are Weak
But He is Strong","He’s the best
J-E-S-U-S","Jesus Loves me
He who died
Heaven’s Gate to open wide
He will wash away my sin
Let his little child come in",,,,,,,,,,,,,,,,,
